ID	a_o	denomina	grupo	grado	avol	atot	acfi	ph	folin	somers	srv	procian	acrg	acse	achplc	ic	ic2	tono	iim	eq1	vla
v1	1	1	1	12.80	1.20	6.70	5.20	3.70	"2,827.00"	50.80	811.00	"3,794.00"	386.00	287.00	181.00	7.81	8.95	0.72	18.40	0.49	0.21
v2	1	1	1	12.80	0.75	6.90	6.00	3.50	"1,818.00"	37.80	968.00	"1,736.00"	144.00	141.00	69.00	4.88	5.55	0.76	23.60	0.48	0.56
v3	1	1	1	12.50	1.00	7.20	6.00	3.60	"1,459.00"	35.10	866.00	"2,306.00"	225.00	132.00	78.00	5.52	6.35	0.46	36.80	0.60	0.38
v4	1	1	1	11.90	0.70	7.70	6.80	3.30	"2,054.00"	32.10	978.00	"3,420.00"	204.00	110.00	84.00	4.64	5.15	0.68	36.40	0.42	0.29
v5	1	1	1	12.50	0.95	7.70	6.30	3.60	"2,930.00"	49.60	"1,128.00"	"3,158.00"	214.00	148.00	75.00	6.99	7.87	0.67	34.20	0.45	0.36
v6	1	1	1	12.10	0.50	5.80	5.20	3.20	"1,906.00"	30.60	875.00	"2,931.00"	167.00	95.00	74.00	3.98	4.36	0.72	38.10	0.43	0.30
v7	1	1	1	12.20	0.80	5.90	4.90	3.40	"2,071.00"	35.60	754.00	"3,101.00"	252.00	160.00	101.00	7.60	8.84	0.72	28.50	0.50	0.24
v8	1	1	1	12.60	0.40	5.40	4.90	3.30	"1,996.00"	30.60	"1,202.00"	"3,001.00"	315.00	124.00	101.00	6.15	7.11	0.74	27.70	0.57	0.40
v9	1	1	1	13.00	0.40	4.60	4.10	3.60	"2,687.00"	41.70	"1,354.00"	"4,785.00"	293.00	170.00	137.00	6.60	7.85	0.93	21.60	0.56	0.28
v10	1	1	1	12.40	0.35	5.50	5.00	3.30	"2,468.00"	30.00	739.00	"2,800.00"	152.00	67.00	56.00	5.49	6.23	0.75	30.30	0.69	0.26
v11	1	1	1	12.60	0.35	5.60	5.20	3.30	"1,965.00"	30.40	839.00	"2,878.00"	144.00	78.00	61.00	5.25	5.96	0.76	33.60	0.58	0.29
v12	1	1	1	12.20	0.40	4.80	4.40	3.50	"1,731.00"	28.40	770.00	"2,649.00"	193.00	107.00	75.00	5.86	6.65	0.77	25.60	0.61	0.29
v13	1	1	1	12.80	0.40	5.20	4.70	3.50	"1,827.00"	29.00	960.00	"2,746.00"	179.00	101.00	65.00	5.77	6.65	0.75	29.20	0.61	0.35
v14	1	1	1	13.00	0.60	5.30	4.50	3.60	"2,110.00"	38.90	489.00	"2,587.00"	358.00	238.00	172.00	6.29	6.97	0.68	22.80	0.41	0.19
v15	2	1	2	12.30	0.40	4.50	4.10	3.70	925.00	20.80	615.00	"1,792.00"	231.00	177.00	168.00	1.95	2.11	0.89	22.40	0.23	0.34
v16	2	1	2	11.30	0.30	4.70	4.30	3.70	"1,637.00"	30.00	881.00	"2,386.00"	254.00	189.00	154.00	3.68	4.19	0.86	21.30	0.27	0.37
v17	2	1	2	10.80	0.30	4.80	4.40	3.70	"1,103.00"	21.90	658.00	"1,906.00"	158.00	120.00	89.00	2.20	2.44	0.88	20.70	0.32	0.35
v18	2	1	2	11.20	0.40	4.40	3.90	3.70	"1,528.00"	28.20	735.00	"2,188.00"	275.00	203.00	146.00	4.05	4.57	0.67	17.80	0.38	0.34
