ID	partido	PODJUDIC	PARTIDOS	ORGEMPRE	SINDICATO	FFAA	IGLESIA	PARLAMENTO	PRESIDENTE	FUNCIONA	MEDCOMUN	POLICIA	TRIBSUPEL
i1	1	3	3	2	1	2	3	3	4	2	4	3	4
i2	1	4	2	2	2	1	4	3	4	4	2	4	4
i3	1	3	3	2	4	2	4	4	4	4	3	3	4
i4	1	2	2	3	3	3	4	4	4	3	2	3	3
i5	1	3	2	1	4	1	4	4	4	4	1	3	4
i6	1	2	2	2	3	3	1	2	2	3	3	2	1
i7	1	3	3	1	1	3	3	3	3	3	2	3	2
i8	1	3	3	2	2	2	2	3	4	3	2	3	3
i9	1	3	2	2	2	2	4	3	3	2	2	2	3
i10	1	3	3	3	3	3	3	3	3	3	2	3	3
i11	1	2	3	2	2	1	3	3	4	3	3	2	2
i12	1	3	3	2	2	3	3	3	4	3	2	3	3
i13	1	3	3	2	2	3	4	4	4	3	2	3	2
i14	1	2	4	2	4	4	3	4	4	4	2	2	4
i15	1	3	3	3	3	3	3	3	3	3	3	3	3
i16	1	3	3	3	3	3	4	3	3	3	2	3	4
i17	1	3	3	2	2	1	3	3	4	3	2	2	3
i18	1	3	3	2	2	3	4	3	4	3	3	3	4
i19	2	3	2	3	2	3	4	2	2	2	2	3	4
i20	2	4	4	3	3	4	4	4	4	4	3	4	4
i21	2	3	3	3	2	2	3	3	3	3	3	3	3
i22	2	3	3	3	2	3	2	3	3	2	2	3	3
i23	2	2	2	3	3	4	4	2	3	2	3	3	4
i24	2	2	2	4	2	4	4	4	4	2	3	3	4
i25	2	2	2	3	2	3	1	2	4	2	3	3	
i26	2	4	3	2	2	4	4	3	3	3	2	3	4
i27	2	3	2	3	2	3	3	3	3	3	3	3	4
i28	2	3	2	3	3	3	3	3	4	3	3	3	2
i29	2	2	2	3	2	3	3	3	3	2	2	4	4
i30	2	2	4	4	4	4	3	3	4	2	3	3	3
i31	2	3	3	4	3	3	3	4	4	3	2	4	4
i32	2	3	2	3	3	4	4	3	3	3	2	4	4
i33	2	2	2	3	2	4	4	2	3	1	3	3	4
i34	2	2	2	4	1	4	3	3	3	2	2	4	4
i35	3	3	3	3	2	3	3	2	3	2	2	3	3
i36	3	2	2	4	1	4	4	2	4	3	4	4	4
i37	3	2		3	2	3	2	2	3	3	2	3	4
i38	3	3	2	4	2	4	4	3	4	2	2	4	4
i39	3	4	3	3	2	4	4	4	4	3	4	4	4
i40	3	4	3	3	2	4	4	3	3	2	3	3	2
i41	3	3	3	3	2	3	4	3	3	2	2	4	4
i42	3	2	2	3	3	3	4	3	3	2	2	3	4
i43	3	4	3	3	2	3	3	3	3	3	2	3	3
i44	3	3	2	3	3	3	3	3	4	2	4	4	2
i45	3	2	3	3	2	3	3	3	3	2	2	3	4
i46	3	4	4	2	2	1	2	3	3	2	4	2	2
i47	3	3	2	3	3	3	4	3	3	3	3	3	3
i48	3	4	2	4	4	4	4	3	4	3	2	4	4
i49	3	4	3	3	2	3	3	3	3	3	3	3	4
i50	3	2	2	3	2	3	4	1	3	3		2	4
i51	3	4	4	4	2	2	4	4	4	2	4	4	4
i52	3	3	2	3	3	4	4	2	3	3	3	3	4
i53	3	2	2	4	2	4	4	2	2	4	4	2	4
i54	3	4	2	2	2	2	2	3	3	1	3	3	2
i55	3	3	3	3	3	3	4	3	4	3	2	3	4
i56	3	3	2	3	2	3	3	2	3	2	2	3	3
i57	3	3	3	3	3	3	3	3	3	3	3	3	3
i58	3	2	2	3	1	4	4	3	3	3	3	3	4
i59	3	3		3	2	3	4	3	3	2			4
i60	4	3	3	3	3	2	3	3	4	3	2	3	2
i61	4	3	3	3	3	3	3	3	4	3	3	3	2
i62	4	2	3	2	3	2	2	3	3	3	4	2	1
i63	4	3	2	2	2	2	3	3	3	3	3	3	4
i64	4	4	3	2	2	2	2	4	4	2	4	2	2
i65	4	4	3	3	3	4	3	2	4	2	3	3	2
i66	4	2	3	3	3	2	3	3	3	2	3	3	2
i67	4	3	3	3	3	2	2	3	3	2	3	2	2
i68	4	3	3	3	2	2	2	3	3	3	2	3	4
i69	4	2	3	2	3	3	4	3	4	3	3	3	4
i70	4	2	2	1	3	3	2	3	4	3	2	3	3
i71	4	3	3	3	3	3	3	3	3	3	3	3	3
i72	4	3	2	3	3	2	3	2	4	4	2	2	3
i73	4	3	2	2	2	2	4	3	3	2	2	2	2
i74	4	3	2	2	2	2	3	3	4	2	4	3	4
i75	5	2	2	2	3	2	3	3	4	2	3	3	3
i76	5	2	2	2	4	3	3	2	3	3	2	3	3
i77	5	2	2	1	3	3	2	3	3	3	2	3	4
i78	5	2	2	2	3	2	2	3	4	2	2	3	3
i79	5	3	3	2	3	3	3	4	4	2	2	3	3
i80	5	2	3	2	2	1	2	3	3	2	1	1	3
i81	5	3	3	2	3	3	3	3	4	3	2	3	3
i82	5	2	2	2	3	3	2	2	4	3	1	3	4
i83	5	2	3	2	2	2	3	3	4	3	2	2	3
i84	6	3	3	3	3	3	3	3	4	3		3	
i85	6	3	3	1	3	3	1	4	4	3	3	4	4
i86	6	3	3	3	2	2	3	3	3	3	4	3	4
i87	6	4	3	2	2	3	3	3	4	3	2	4	2
i88	6	3	3	2	3	3	2	3	4	3	2	3	4
