	CIANOF	CRISOF	HAPTOF	CRASP	CRIPTOF	DINOF	DIATOM	EUGLEN	PRASIN	CLOROF	ZIGOF	XANTOF	ALGAS
AO	1.626340367	1.731588765	2.121887985	0.84509804	2.518908574	0.919078092	2.766189693	0	0	2.032618761	0.698970004	3.223132362	1.73239376
A2	0	1.807535028	2.131297797	1.838849091	1.73479983	0.886490725	2.62838893	1.120573931	0.505149978	2.476976466	0.819543936	2.779380011	0.908485019
A5	0	2.096910013	2.225309282	1.414973348	2.136720567	1.113943352	2.579783597	1.041392685	0.477121255	2.10720997	1.204119983	2.603144373	1.602059991
A10	0	2.405517107	2.301680949	1.374748346	2.344392274	1.278753601	2.559068334	0.919078092	0.477121255	1.799340549	1.385606274	2.301680949	1.851258349
A15	0	1.903632516	1.789580712	1.866877814	2.205475037	1.326335861	2.764922985	0.908485019	0.908485019	1.866877814	0.342422681	2.460446784	1.462397998
A20	1.73479983	1.806179974	2.448397103	1.596597096	2.204933522	1.374748346	2.848989206	0.954242509	0.886490725	2.009875634	0.755874856	2.755264891	2.041392685
A45	2.499274582	1.113943352	0	0.799340549	1.068185862	1.155336037	2.983941859	0.799340549	0.954242509	1.322219295	1.26245109	1.552668216	0.568201724
B0	0.799340549	1.598790507	1.715167358	2.227886705	1.612783857	0.954242509	3.006765452	0	0	2.284881715	0	3.503722606	1.579783597
B2	0	1.46686762	1.346352974	2.310268367	2.281033367	1.155336037	3.053462605	0	0	2.261738547	1.285557309	3.421669724	2.26245109
B5	0	1.808210973	1.888179494	2.14082218	2.247973266	1.068185862	3.024608796	0.361727836	0	2.180985581	1.012837225	3.353473829	2.037426498
B10	1.230448921	1.230448921	0	2.169380495	1.962369336	1.068185862	3.022428371	0	0	2.061829307	1.419955748	3.396913862	2.309630167
B15	0	1.804139432	1.888179494	2.48301642	2.161368002	1.552668216	3.032215703	0	0.361727836	2.462847036	1.113943352	3.369494162	2.691081492
B20	0	1.707570176	0	2.36361198	1.897627091	1.322219295	2.945468585	0	0.477121255	1.959041392	1.204119983	3.087071206	2.401400541
B44	2.848189117	1.653212514	0	2.217483944	1.068185862	0.698970004	2.857151503	1.068185862	0.568201724	1.678518379	1.26245109	2.011993115	1.113943352
C0	0.995635195	1.896526217	1.63748973	0	2.488127496	1.506505032	3.358125285	0.886490725	0	2.2757719	1.322219295	3.891453824	1.86923172
C2	0	1.946943271	1.178976947	1.178976947	2.557507202	1.322219295	3.360233561	0.73239376	0	2.098297536	0.886490725	3.683092087	2.127104798
C5	0	1.716837723	1.63748973	0	2.535547279	1.365487985	3.395798006	0	0	2.035429738	1.563481085	3.630356673	1.591064607
C10	0	2.135768515	1.759667845	1.933487288	2.455453969	1.612783857	3.3706426	1.155336037	0	2.513617074	1.752816431	3.727817686	2.305351369
C15	0	2.096214585	1.999565488	1.442479769	2.434728542	1.404833717	3.346978534	0.886490725	0	2.279438788	1.588831726	3.688152756	2.08278537
C20	0	1.826074803	1.770852012	1.806179974	2.212187604	1.230448921	3.143951116	0.77815125	0	1.939519253	1.380211242	3.441066407	2.08278537
C43	1.155336037	1.73239376	1.255272505	2.001733713	1.701567985	0.886490725	2.76514679	0.633468456	0	1.658011397	0.954242509	2.809896247	2.079181246
