	T	O2	pH	CON	SIO	PO4	Cha	Chb	Chc	IM
AO	7.6	8.7	7.1	91.4	2.271	4.413	2.345	0	0.38	3.1
A2	7.3	9.4	7.4	89.8	1.91	5.668	3.325	0.884	1.494	2.6
A5	7.2	10.1	7.5	92.3	2.194	5.04	3.124	0.006	0.493	2.7
A10	6.5	10.5	7.4	93.8	1.717	4.317	3.543	0.003	0.439	2.5
A15	6.3	10.7	7.5	94.5	1.762	3.593	2.973	0	0.267	2.6
A20	6.1	10.9	7.5	94	1.64	3.005	2.421	0	0.085	2.6
A45	4.8	9.8	7.6	101.6	1.653	2.416	1.551	0.791	1.061	2.2
B0	8.5	9	7.4	98.1	2.776	7.34	2.422	0	0	2.2
B2	7.6	10.5	7.3	98.1	2.889	7.402	1.563	0	0	2.6
B5	7.5	11.6	7.3	98.1	2.841	7.81	2.108	0	0	2.4
B10	6.9	12.4	7.3	98.1	2.722	8.217	2.173	0	0	2.4
B15	6.7	12.7	7.3	98.1	2.792	9.353	3.153	0	0	2.3
B20	6.5	12.9	7.3	101.5	2.772	8.114	1.471	0	0	2.1
B44	5.1	11.8	7.4	105	2.752	7.185	1.667	0.132	0	1.9
C0	7.4	16.3	7.8	90.4	1.727	5.946	3.956	0.076	0.945	2.6
C2	7.6	16.3	7.8	90.6	2.139	9.136	5.414	0	0.953	2.4
C5	7.4	16.3	7.8	90.7	2.106	15.547	3.285	0.211	0.734	2.4
C10	7	15.9	7.7	90.5	1.88	5.946	4.063	0.212	1.106	2.4
C15	6.7	16	7.7	96.1	2.179	5.389	4.009	0.144	1.025	2.3
C20	6.5	15.8	7.7	98.7	2.446	5.668	2.38	0.085	0.608	2.4
C43	5.6	14.2	7.7	101.3	2.712	5.946	1.611	0.113	0.436	2.5
D0	9.5	11.5	7.7	95.2	1.858	6.132	2.891	0	0.22	2.9
D2	8.9	11.6	7.7	94.8	1.84	4.522	4.232	0	0.383	2.8
D5	8.6	11.7	7.8	94.8	1.821	6.659	4.17	0	0.263	2.8
D10	7.8	11.5	7.7	94.9	1.795	2.632	4.536	0	0.299	2.7
D15	7.4	11.4	7.6	94.7	1.821	2.632	4.949	0	0.376	2.6
D20	7.1	11.3	7.4	96.2	1.972	3.314	4.849	0	0.126	2.6
D43	5.7	9.9	7.3	104.7	2.564	3.995	1.863	0.04	0.013	2.5
E0	11.9	9.9	8	90	1.722	2.973	2.952	0	0.373	2.8
E2	10.9	10	7.9	91	1.806	6.875	4.126	0	0.565	2.7
E5	10.5	10.2	8	92.6	1.757	2.973	5.211	0	0.652	2.6
E10	8.9	10	7.9	95.7	1.806	2.756	5.199	0	0.762	2.6
E15	8.3	10	7.9	99.6	2.204	1.61	4.267	0	0.626	2.5
E20	7.7	10	7.8	105.6	1.994	6.411	2.921	0.127	0.263	2.2
E45	6	8.7	7.5	106.3	2.846	4.119	2.722	0.173	1.369	1.9
F0	15.8	10.3	8.1	92.9	1.21	3.004	1.421	0	0	3.3
F2	15.2	10.5	8.2	95.2	1.3	1.796	2.146	0	0	3.3
F5	13.5	11.4	8.2	95.1	1.358	1.487	3.139	0	0.702	2.9
F10	9.8	11.4	8.1	94.1	1.499	2.416	5.115	0	0.429	2.7
F15	8.5	10.9	7.9	98.3	1.832	2.106	4.998	0	0.358	2.6
F20	7.7	10.9	7.7	105.8	1.807	1.487	4.149	0	0.213	2.5
F44	6.1	9	7.4	107.2	2.512	1.487	1.7	0	0	2.5
G0	15.9	9.7	8.1	92.9	1.297	4.212	0.966	0	0.087	2.9
G2	15.3	9.9	8	92.9	1.291	7.03	1.208	0	0.141	2.9
G5	14.1	10.5	7.8	92.6	1.316	3.747	2.228	0	0.437	2.8
G10	12	11.7	7.8	93.9	1.404	3.283	3.739	0	0.753	2.8
G15	8.7	11.1	7.7	97.2	1.726	2.818	1.441	0.005	0.284	2.6
G20	7.9	10.8	7.6	99.2	1.971	1.641	6.405	0	0.999	2.5
G44	6.3	8.7	7.3	105.2	2.513	2.571	6.606	0	1.417	2.5
H0	16.7	9.7	7.9	96.4	1.089	2.787	0.787	0	0.024	2.5
H2	15.8	9.8	8	90.4	1.123	7.154	1.262	0	0.221	2.6
H5	15.3	10.1	8	90.5	1.143	2.323	1.433	0.116	0.244	2.6
H10	12.8	10.4	7.9	97.5	1.245	4.862	1.362	0.255	0.213	3
H15	9	10.9	7.8	94.1	1.448	2.137	3.955	0	0.91	2.6
H20	8.1	11	7.7	94.2	1.624	1.208	2.828	0	0.488	2.5
H42	6.5	8.7	7.5	102	2.565	2.246	1.503	0	0.275	2.5
I0	16.3	9.2	8.1	93.3	1.322	1.456	0.52	0.227	0.367	2.3
I2	15.8	9.2	8.1	91.5	1.411	2.849	1.858	1.38	1.851	2.1
I5	15.7	9.6	8	91.1	1.436	3.066	1.253	0.091	0.31	2.4
I10	14.3	9.7	7.9	93.3	1.508	3.283	1.683	0.001	0.209	2.4
I15	9.3	10.5	7.9	95.5	1.881	1.456	1.861	0	0.401	2.6
I20	8.3	10.2	7.9	98	2.254	0.774	2.703	0	0.505	2.6
I42	6.7	7.9	7.8	94.5	2.878	1.92	0.957	0.026	0.305	2.1
J0	19.7	9	7.9	91.3	1.896	1.115	0.369	0.169	0	4.5
J2	18.8	9.4	8	92.1	1.412	1.363	0.79	0	0	2.4
J5	18.1	9.6	8.1	93.1	1.586	1.796	1.122	0.186	0.355	2.7
J10	13.7	9.4	7.9	95	1.642	3.128	1.905	0	0	2.6
J15	9.6	10.2	7.8	95.4	1.888	1.796	2.046	0	0	2.2
J20	8.2	10.1	7.6	96.5	2.149	1.905	1.177	0	0	3.1
J42	6.8	7.3	7.9	95	2.229	2.013	1.024	0	0	2.1
