S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
BAN	7.4	8.1	5.6	6.082717873	1.366	8.715963045	4.87	6.812	8.436648166	3.2784107564	6.373099662	1	9.7077	8.3138593446	2.8572988565	9.6437	1	9.4006220923	1.217543932	6.0653065971	8.5659902991
BDI	3.8	7.2	4.6	3.9663230241	4.852	3.979975897	6.43132	7.27	7.945336025	2.6712505704	4.77	2.4246905107	9.7703	7.2388010189	8.581210524	9.8573	1	1	1	1	8.6859445661
BEN	8.8	7.5	1.3	5.1225490196	3.939	3.724306596	5.78	5.832	5.5432728473	4.4170514288	7.048184762	10	9.95074	6.4904297384	5.624482668	9.491	1	8.115471024	1.0848122486	9.3239382102	8.9696918681
BUR	9.2	7.9	1.7	3.9672897196	3.501	5.052533695	3.85405	6.153	5.3259180101	4.4581613196	6.368	7.1217351557	9.212	5.1140587115	8.581210524	9.8573	1	7.0140056563	1.075391868	7.1892373686	9.0857551507
CAF	6	6.7	3.4	3.8820512821	4.835	4.517288172	4.077047	6	1	2.3818301667	5.396	8.8721614545	9.99537	5.5732401163	8.581210524	9.8573	1	2.8393354621	1	4.4932896412	8.1506096071
CAM	7.5	6.4	3.1	5.6445717403	4.195	9	6.167742	6.464	4.4485806622	3.3031412161	6.439370376	10	9.95413	6.9355889755	7.2071125689	9.7343	1	7.5321410368	1.5366906393	8.4366481257	9.1338277078
CHA	6.1	5.1	1.3	3.4022038567	3.99	4.465324186	4.710597	5.334	4.8190899009	2.225169299	5.396	4.6929084471	9.91465	3.7250211628	8.581210524	9.8573	1	1	1.3239476069	2.417140169	8.9151099456
COD	3.1	4.5	2.4	4.2741935484	2.907	4.787872708	5.38	6	3.4645581033	1.6870256557	6.775362545	4.992895078	9.99515	7.5626887484	9.6277005194	9.9535	1	3.5072326063	1	2.417140169	8.9261957042
ETH	5.9	4.4	2.1	5.2057613169	4.196	4.279328123	5.511383	6.136	8.3527021141	3.0953656228	6.853903195	9.1991939826	9.5444	6.3720361791	9.4667579791	9.9353	1	8.1316341699	1	1.2873490359	8.5162889507
GAM	8.1	8.9	6.8	5.2558275058	1	4.86494639	5.445139	6.763	2.3692775868	3.9400462658	6.368	1	9.91088	5.9731675816	8.581210524	9.8573	1	7.95219158	1.371923067	1.8451953103	2.8184352863
GBS	7.8	6.4	2	3.7718168813	5.015	4.549164798	6.540241	6.2	6.2500226828	2.9352031138	6.368	10	9.94355	6.5560178736	8.581210524	9.8573	1	8.8257556082	1	1.636541368	7.5984509797
GUI	8.4	7.4	1.8	4.650063857	4.725	4.553565237	5.22767	6.2	5.0157606907	2.4531188321	6.368	3.2103531316	9.92832	4.6166625691	8.581210524	9.8573	1	1.4069488074	1	1.636541368	2.2953899122
HAI	4.3	6.9	1.7	5.7704557935	5.052	3.969387674	5.84	7.1	1	2.6916224558	6.770692338	1	9.1447	8.3033449382	7.0509581613	9.7872	1	8.9824868779	1	1	9.8151464997
KEN	6.7	5.9	3.2	4.8725490196	5.208	5.785792632	6.7	6.493	2.2537265554	3.6604923059	5.850818359	5.8639677267	9.1091	7.2033216226	8.066012294	9.7312	1	8.839340062	1.2504398874	1	7.0008658046
KGZ	8.9	9	9.3	6.3345606284	4.867	4.133459807	7.6	7.036	7.8662786107	3.2808966763	3.816893108	3.4708386424	7.941	7.0839029868	3.0565894068	8.6986	1	8.4530301928	1.6301165944	4.5289272124	6.3261494702
LBR	6.8	7.3	1.8	4.9041434756	4.596	4.846	6.32	6.2	4.3604928632	3.5010400169	6.368	1	9.99231	6.1351198446	8.581210524	9.8573	1	1.0944342397	1	6.9073432734	9.7260597423
MAD	7.5	4.6	1.5	5.4393476045	5.007	4.759806015	6.75	6.797	3.1981902182	3.5147717552	4.77	1.2721358866	9.5644	6.3585178404	8.581210524	9.8573	1	6.8293915111	1	7.7105159316	9.9305744174
MAW	7.3	8.3	5.1	4.2593320236	5.007	3.034154526	6.77403	6.85	5.4881163609	4.4682074106	4.77	7.508784453	9.4389	7.58689903	8.581210524	9.8573	1	8.1184900495	1	1	7.9686021108
MLI	8.8	6.4	2.2	3.779342723	3.541	7.863232827	4.827252	5.752	5.1170857779	4.1368290005	6.368	1.2169599442	9.3454	4.1048529416	8.581210524	9.8573	1	8.1057551426	1	1.636541368	9.0132895375
MOZ	6.2	4.7	1.8	3.7674897119	5.022	4.663881065	5.89	7.251	2.3692775868	4.4907909443	5.016587217	7.4034704828	9.96572	7.6615638685	9.5646340955	9.8931	1	7.035336582	1	1.2245642825	8.8423172362
MYA	8.4	8.3	7.6	5.1051524711	3.384	4.572970118	5.74	6.8	1.7204486382	1.5108922642	7.024242694	2.6108978517	9.7155	3.8017484786	7.8401062832	9.8331	1	5	1	6.6898074569	7.7260534511
NEP	8.3	8.9	3.1	5.9701492537	1.801	4.596457148	5.762911	5.888	3.328710837	3.188793274	5.518486068	8.4989613957	9.5344	7.6866056174	8.7830517936	9.8781	1	9.4592758893	1	1	8.7784543544
NIG	8.4	4.9	1	4.1388888889	3.636	4.222699592	3.386967	6.2	7.1892373343	3.6191193878	6.368	3.5346589288	9.2975	1.5030047474	8.581210524	9.8573	1	8.9918836574	1	1.636541368	9.5651811069
PRK	6.5	9.8	8	6.514397267	7.213	4.411298194	5.94982	6.7	6.4403642108	1.7957233786	3.906	1	8.878	8.1513259445	1.1969616737	7.4126	1	5	1.2838515322	3.3621649371	9.0523818122
