	Rio	Alt	Das	Pen	Smm	Qmm	Vme
Do1	Doubs	6	0	9	4	3	3
Do2	Doubs	6	2	5	5	3	2
Do3	Doubs	6	4	6	5	4	4
Do4	Doubs	5	5	6	5	4	3
Do5	Doubs	5	5	6	6	4	1
Do6	Doubs	5	5	7	6	5	2
Do7	Doubs	5	6	5	5	3	2
Do8	Doubs	5	6	4	6	5	3
Do9	Doubs	4	7	7	5	6	9
Do10	Doubs	3	7	6	6	7	9
Do11	Doubs	3	7	5	6	7	9
Do12	Doubs	3	7	5	6	7	9
Do13	Doubs	2	7	4	6	7	9
Do14	Doubs	2	7	3	6	7	7
Do15	Doubs	2	7	5	6	7	6
Do16	Doubs	2	7	3	7	7	5
Dr17	Drugeon	6	3	8	3	1	2
Dr18	Drugeon	5	4	6	4	2	2
Dr19	Drugeon	5	4	6	4	3	3
Dr20	Drugeon	5	5	5	5	3	2
Dr21	Drugeon	5	5	5	4	2	2
Dr22	Drugeon	5	5	4	5	4	2
De23	Dessoubre	3	0	9	3	1	2
De24	Dessoubre	3	3	8	4	3	4
De25	Dessoubre	3	4	8	5	3	3
De26	Dessoubre	2	5	6	5	4	2
De27	Dessoubre	2	5	6	6	5	3
All28	Allaine	3	1	6	1	0	0
All29	Allaine	3	2	9	2	0	0
All30	Allaine	3	3	8	2	0	2
All31	Allaine	3	4	7	3	1	2
All32	Allaine	2	4	7	4	2	4
All33	Allaine	2	4	7	5	4	3
All34	Allaine	2	5	7	5	5	3
All35	Allaine	2	5	4	5	5	3
Au36	Audeux	3	1	7	3	0	1
Au37	Audeux	3	3	7	4	1	1
Au38	Audeux	3	3	7	4	1	0
Au39	Audeux	2	4	8	3	1	2
Au40	Audeux	1	5	5	4	1	0
Cu41	Cusancin	2	0	9	4	2	2
Cu42	Cusancin	2	1	8	4	2	1
Cu43	Cusancin	1	3	7	5	3	1
Cu44	Cusancin	1	4	5	5	3	1
Lo45	Loue	3	0	9	5	4	2
Lo46	Loue	2	3	8	5	4	3
Lo47	Loue	2	3	6	6	5	3
Lo48	Loue	2	4	7	6	6	4
Lo49	Loue	2	5	5	6	6	6
Lo50	Loue	2	5	4	6	6	6
Lo51	Loue	2	5	5	6	7	6
Lo52	Loue	1	6	4	6	7	5
Lo53	Loue	1	6	4	7	7	3
Lo54	Loue	1	6	4	7	7	2
Lo55	Loue	1	6	4	7	7	3
Lo56	Loue	1	6	4	7	7	3
Lo57	Loue	1	6	4	7	7	4
Lo58	Loue	1	6	5	7	7	3
Lo59	Loue	1	7	4	7	7	4
Lo60	Loue	1	7	3	7	7	5
Lo61	Loue	1	7	3	7	7	4
Li62	Lison	2	0	9	5	1	0
Li63	Lison	2	2	6	5	1	0
Li64	Lison	2	4	5	5	2	0
Li65	Lison	2	5	6	5	3	1
Li66	Lison	1	5	6	6	4	1
Fu67	Furieuse	3	0	9	3	2	5
Fu68	Furieuse	3	0	9	3	2	6
Fu69	Furieuse	3	2	8	4	3	7
Fu70	Furieuse	2	3	8	4	3	3
Fu71	Furieuse	2	4	8	4	3	5
Fu72	Furieuse	2	4	7	4	3	5
Fu73	Furieuse	1	4	7	4	3	6
Fu74	Furieuse	1	4	6	3	2	3
Fu75	Furieuse	1	5	6	4	2	2
Cuis76	Cuisance	2	0	9	4	2	1
Cuis77	Cuisance	2	2	9	4	2	1
Cuis78	Cuisance	2	2	6	5	2	1
Cuis79	Cuisance	2	3	7	5	2	1
Cuis80	Cuisance	1	4	7	5	2	0
Cuis81	Cuisance	1	4	6	5	2	0
Cuis82	Cuisance	1	5	5	5	2	0
Cuis83	Cuisance	1	5	5	5	2	0
Dou84	Doulonnes	1	1	8	3	0	0
Dou85	Doulonnes	1	2	7	4	0	0
Dou86	Doulonnes	1	3	5	4	2	1
Cla87	Clauge	1	2	6	1	0	1
Cla88	Clauge	1	4	4	3	2	6
Cla89	Clauge	1	5	5	4	3	5
Cla90	Clauge	1	5	6	3	3	9
Cla91	Clauge	1	5	5	4	0	1
Cla92	Clauge	1	5	4	5	3	2
