		Q	P	R	J	E	C	D	K	B	A	G	M	L	F	H	N
A1	Hemiptera	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
A2	Hemiptera	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A3	Hemiptera	2	3	2	2	2	4	3	1	3	3	1	1	1	0	0	0
A4	Hemiptera	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1
A5	Hemiptera	1	0	0	2	0	1	0	0	0	0	1	0	0	0	1	1
A6	Hemiptera	0	1	0	1	0	0	2	1	0	0	1	1	1	2	2	3
A7	Hemiptera	0	0	0	2	0	0	1	0	0	1	2	1	1	0	0	1
A8	Hemiptera	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1
A9	Hemiptera	0	0	0	1	0	4	2	0	3	0	0	0	0	0	0	3
Aa	Hemiptera	0	0	0	0	0	2	1	0	2	0	1	2	0	0	0	1
Ab	Hemiptera	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2
B1	Odonata	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0
B2	Odonata	0	2	0	0	0	0	0	0	3	1	2	1	0	0	0	0
B3	Odonata	0	3	2	0	2	2	0	0	1	1	0	1	0	0	0	1
B4	Odonata	2	2	2	1	2	0	0	1	2	0	0	2	0	1	1	3
B5	Odonata	0	2	3	2	2	3	2	2	3	3	2	3	0	0	1	3
B6	Odonata	0	0	0	1	1	3	2	2	3	3	2	3	0	3	2	3
B7	Odonata	0	0	0	0	0	0	0	2	0	0	0	1	2	0	3	3
C1	Trichoptera	2	3	2	2	2	2	1	1	2	3	0	2	0	1	0	0
C2	Trichoptera	1	0	1	2	2	3	1	3	3	3	2	2	1	0	2	3
C3	Trichoptera	0	1	0	2	0	1	0	0	0	0	0	2	0	1	1	0
C4	Trichoptera	0	0	0	2	3	1	1	1	0	1	1	0	0	0	0	2
C5	Trichoptera	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
C6	Trichoptera	0	0	0	0	0	0	0	3	0	1	1	1	0	2	3	2
C7	Trichoptera	0	0	0	0	0	0	0	2	2	0	2	2	0	0	2	2
C8	Trichoptera	0	0	0	0	0	0	0	3	0	0	1	0	0	2	1	0
C9	Trichoptera	0	0	0	0	0	0	0	2	0	0	0	2	0	3	1	2
Ca	Trichoptera	0	0	0	0	0	0	0	2	2	0	2	0	2	2	3	3
Cb	Trichoptera	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	3
Cc	Trichoptera	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0
Cd	Trichoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0
D1	Ephemeroptera	0	0	0	0	0	4	3	2	4	4	1	3	0	2	1	0
D2	Ephemeroptera	0	0	0	0	0	3	3	3	3	3	3	3	2	3	3	4
D3	Ephemeroptera	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	4
D4	Ephemeroptera	0	0	0	0	0	0	0	0	2	0	1	1	0	2	3	3
E1	Coleoptera	1	2	1	1	0	1	2	0	1	0	0	1	0	0	0	0
E2	Coleoptera	1	2	0	0	2	0	0	0	2	0	2	1	2	0	1	0
E3	Coleoptera	0	1	0	0	0	2	0	0	2	0	3	2	1	0	0	1
E4	Coleoptera	0	2	0	2	0	2	0	0	1	0	2	0	0	0	0	1
E5	Coleoptera	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0
E6	Coleoptera	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
E7	Coleoptera	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
E8	Coleoptera	0	0	0	1	0	0	0	2	0	0	2	3	0	0	0	2
E9	Coleoptera	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Ea	Coleoptera	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Eb	Coleoptera	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1
Ec	Coleoptera	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2
Ed	Coleoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
F1	Diptera	3	4	4	4	3	3	3	3	4	3	3	3	1	3	3	4
F2	Diptera	1	2	0	2	0	0	2	0	3	2	2	2	0	0	3	1
F3	Diptera	0	2	0	2	0	0	2	0	2	2	0	2	0	0	0	0
F4	Diptera	0	3	4	0	3	3	0	0	0	0	0	0	0	0	0	0
F5	Diptera	1	3	2	1	2	3	2	2	2	2	2	0	0	1	2	3
F6	Diptera	3	0	3	2	3	3	0	2	0	0	2	2	0	0	0	2
F7	Diptera	0	3	4	3	4	4	4	0	3	3	2	3	0	2	3	3
F8	Diptera	0	0	0	0	3	0	2	0	0	0	2	0	2	0	2	0
F9	Diptera	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2
Fa	Diptera	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0
Fb	Diptera	0	3	0	0	0	3	0	3	3	3	3	3	3	3	3	4
Fc	Diptera	2	4	2	3	3	4	3	3	4	3	2	3	0	3	3	3
Fd	Diptera	0	0	0	0	2	4	4	2	4	4	3	2	3	3	3	3
Fe	Diptera	0	0	0	0	0	3	3	0	0	0	0	0	0	0	2	0
Ff	Diptera	2	0	0	0	3	3	3	4	3	3	3	3	0	3	4	4
Fg	Diptera	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3
Fh	Diptera	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0
Fi	Diptera	0	0	0	0	0	3	0	3	2	2	3	3	3	4	4	4
Fj	Diptera	0	0	0	0	0	0	2	3	0	2	3	0	3	2	0	3
Fk	Diptera	0	0	0	0	0	0	0	0	2	2	0	0	3	0	3	0
Fl	Diptera	0	0	0	0	0	0	0	0	3	0	2	0	3	0	3	4
Fm	Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
G1	Hydracarina	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
G2	Hydracarina	0	0	0	1	0	0	0	0	0	2	1	2	0	0	2	2
G3	Hydracarina	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	2
G4	Hydracarina	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
H1	Malacostraca	0	0	0	0	0	3	3	3	2	3	3	0	0	0	2	3
H2	Malacostraca	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
H3	Malacostraca	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3
I1	Mollusca	0	0	0	0	0	4	4	2	3	3	3	3	0	0	3	4
I2	Mollusca	0	0	0	0	0	2	0	0	2	2	2	1	0	0	2	3
I3	Mollusca	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0
I4	Mollusca	0	0	0	0	0	0	0	0	0	2	0	2	2	0	1	3
I5	Mollusca	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
I6	Mollusca	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
I7	Mollusca	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
I8	Mollusca	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	3
J1	Oligochaeta	4	3	4	4	2	2	2	3	2	2	3	0	0	1	2	3
J2	Oligochaeta	2	0	2	3	2	3	3	2	3	3	0	2	3	0	2	3
J3	Oligochaeta	2	0	0	2	0	0	0	0	1	0	2	1	4	1	3	2
J4	Oligochaeta	0	0	0	0	0	0	3	2	1	2	2	3	4	0	0	0
J5	Oligochaeta	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0
J6	Oligochaeta	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	3
