S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
BAN	7	7.5	4.8	5.7166666667	1.673842466	8.715963045	4.78	6.2700647207	7.945336025	2.96	6.373099662	1	9.7077	8.3151914917	3.509571555	9.7404	1	9.2040583733	1	6.5050908232	7.4694106705	7	8	3.6	6.0231989247	1.567881582	8.715963045	4.85	6.5307379153	7.4081822068	3.1333333333	6.373099662	1	9.7077	8.3602725884	3.3507917991	9.7242	1	9.3230543384	1	6.5050908232	8.5037210417	7.3	8	5.3	6.3151344086	1.365989278	8.715963045	4.87	6.7017111033	8.4484284501	3.1547424108	6.373099662	1	9.7077	8.2546326205	3.1186405272	9.681	1	9.2972859278	1.092108171	6.5050908232	8.3712494557	7.4	8.1	5.6	6.082717873	1.366	8.715963045	4.87	6.812	8.436648166	3.2784107564	6.373099662	1	9.7077	8.3138593446	2.8572988565	9.6437	1	9.4006220923	1.217543932	6.0653065971	8.5659902991
BDI	3.2	7.9	3.6	2.5166666667	4.771360736	3.979975897	3.750802	6.5	2.2763768838	2.22	4.77	2.425	9.7703	6.9215415256	8.6935861435	9.863	1	1	1	1	1	3.4	7.1	4.1	2.788185654	4.729198321	3.979975897	4.801281	6.6	2.2763768838	2.67	4.77	2.425	9.7703	6.9405939395	8.628000613	9.8588	1	1	1	1	1	3.8	7.2	4.6	2.8869198312	4.851888187	3.979975897	5.584494	6.7	7.922115381	2.8268513997	4.77	2.425	9.7703	7.0541071528	8.6028993918	9.8541	1	1	1	1	8.5631986779	3.8	7.2	4.6	3.9663230241	4.852	3.979975897	6.43132	7.27	7.945336025	2.6712505704	4.77	2.4246905107	9.7703	7.2388010189	8.581210524	9.8573	1	1	1	1	8.6859445661
BEN	8.5	6.8	3.2	4	3.609683847	3.724306596	5.665202	5.7795936451	1.8824706564	4.43	7.048184762	10	9.95074	7.4218999675	6.6877126042	9.6528	1	7.4750935836	1	9.3239382102	9.7036559668	8.8	6.5	3	4.3100490196	3.629843968	3.724306596	5.78	5.5817559143	6.1262639418	4.5466666667	7.048184762	10	9.95074	6.4619557313	6.19352245	9.5919	1	6.5057797667	1.0079886622	9.3239382102	9.2250886192	8.8	7.5	1.2	4.943627451	3.939113831	3.724306596	5.78	5.718695472	5.3850121978	4.5823571984	7.048184762	10	9.95074	6.5299169102	5.9148917227	9.5456	1	7.4343228425	1.0545057302	9.3239382102	9.0507564971	8.8	7.5	1.3	5.1225490196	3.939	3.724306596	5.78	5.832	5.5432728473	4.4170514288	7.048184762	10	9.95074	6.4904297384	5.624482668	9.491	1	8.115471024	1.0848122486	9.3239382102	8.9696918681
BUR	8.1	5.1	1.2	2.6	3.2695104	5.052533695	2.3	5.8538783142	1.1417761691	4.24	6.368	7.12	9.212	5.0548865638	8.6935861435	9.863	1	7.0140056563	1	7.633794907	9.4627658403	8.5	7.2	1.3	2.7872452334	3.390898912	5.052533695	2.947052	6.0289630832	4.9164419746	4.24	6.368	7.12	9.212	4.8452184544	8.628000613	9.8588	1	7.0140056563	1	7.1892373686	9.36594325	9.1	7.6	1.1	2.869165023	3.501144948	5.052533695	3.51665	6.1624097104	5.3259180101	4.2813034557	6.368	7.12	9.212	5.823310641	8.6028993918	9.8541	1	7.0140056563	1	7.1892373686	9.2128510177	9.2	7.9	1.7	3.9672897196	3.501	5.052533695	3.85405	6.153	5.3259180101	4.4581613196	6.368	7.1217351557	9.212	5.1140587115	8.581210524	9.8573	1	7.0140056563	1.075391868	7.1892373686	9.0857551507
CAF	5.7	7.5	2.7	2.9	4.509790573	4.517288172	3.15	5.7	1	2.31	5.396	8.87	9.99537	5.3865137531	8.6935861435	9.863	1	2.6325524461	1	4.4932896412	1	5.6	6.6	3.1	3.1015396459	4.746203501	4.517288172	3.06	5.8	1	2.4166666667	5.396	8.87	9.99537	5.4453404053	8.628000613	9.8588	1	3.3270148249	1	4.4932896412	1.5164419509	6	6.7	3.4	3.4326404927	4.834897156	4.517288172	3.898382	6.1	3.2581401341	2.3826147828	5.396	8.87	9.99537	5.5447348516	8.6028993918	9.8541	1	2.6325524461	1	4.4932896412	8.4875687107	6	6.7	3.4	3.8820512821	4.835	4.517288172	4.077047	6	1	2.3818301667	5.396	8.8721614545	9.99537	5.5732401163	8.581210524	9.8573	1	2.8393354621	1	4.4932896412	8.1506096071
CAM	6.7	3.4	1.6	4.5833333333	3.810709215	9	5.940248	6.2911578139	4.9164419746	3.4466666667	6.439370376	10	9.95413	7.2172199253	7.2637895823	9.8025	1	7.9491976669	1.0694245398	8.4366481257	8.8800000014	6.7	6.5	2.8	4.9875293427	3.996361879	9	6.03747	6.4688406928	4.6301306831	3.41	6.439370376	10	9.95413	6.9859783272	7.0315928582	9.7821	1	8.3861720679	1.2984974344	8.4366481257	9.1954628594	7.8	6.1	2.9	5.1687206573	4.195434712	9	6.167742	6.4822975084	3.9984965434	3.4306308754	6.439370376	10	9.95413	6.9421895369	6.4842241099	9.7446	1	8.5608612821	1.3736598688	8.4366481257	9.107620214	7.5	6.4	3.1	5.6445717403	4.195	9	6.167742	6.464	4.4485806622	3.3031412161	6.439370376	10	9.95413	6.9355889755	7.2071125689	9.7343	1	7.5321410368	1.5366906393	8.4366481257	9.1338277078
CHA	6.6	3.4	1	3.45	3.862673915	4.465324186	3.916451	5.247421845	1.8824706564	2.8133333333	5.396	4.695	9.91465	3.5717764325	8.6935861435	9.863	1	1	1.1898182207	1.8086579262	9.0756042118	6.5	4.8	1	3.4768646865	3.886178387	4.465324186	3.813837	5.2902241287	1.7204486382	2.1266666667	5.396	4.695	9.91465	3.5893056261	8.628000613	9.8588	1	1	1.2046763773	2.1653566732	9.3813520971	6.3	5	1	3.2082178218	3.990254269	4.465324186	4.381856	5.3298749773	4.7968991962	1.9517361423	5.396	4.695	9.91465	3.8455542836	8.6028993918	9.8541	1	1	1.1915725518	2.417140169	8.8857474986	6.1	5.1	1.3	3.4022038567	3.99	4.465324186	4.710597	5.334	4.8190899009	2.225169299	5.396	4.6929084471	9.91465	3.7250211628	8.581210524	9.8573	1	1	1.3239476069	2.417140169	8.9151099456
COD	2.9	4.6	2.9	2.85	2.608910542	4.787872708	3.44	5.7	1.8824706564	1.6433333333	6.775362545	4.995	9.99515	7.3516460037	9.7199535979	9.9607	1	2.7391371645	1	1.8086579262	1	2.6	4.6	3.1	3.0561111111	2.866205103	4.787872708	4.5722566	5.8	1.7204486382	1.77	6.775362545	4.995	9.99515	7.4438561614	9.6937457716	9.9595	1	4.4949846155	1	2.1653566732	1	3.1	4.6	2.3	3.2072592593	2.907458731	4.787872708	5.307378	6.1	3.4690800406	1.6251683585	6.775362545	4.995	9.99515	7.5400746445	9.6272474571	9.9549	1	3.5241638235	1	2.417140169	8.9890263588	3.1	4.5	2.4	4.2741935484	2.907	4.787872708	5.38	6	3.4645581033	1.6870256557	6.775362545	4.992895078	9.99515	7.5626887484	9.6277005194	9.9535	1	3.5072326063	1	2.417140169	8.9261957042
ETH	5.4	2.2	1	3.5333333333	4.272622266	4.279328123	3.793738	5.946427654	8.1058424597	3.0066666667	6.853903195	8.855	9.5444	6.3549888433	9.3096581522	9.9401	1	6.4881701118	1	5.8274824682	3.1620613245	5.4	4.2	1.1	3.8448389218	4.122138413	4.279328123	4.75003	5.867457132	8.1058424597	3.1666666667	6.853903195	8.98	9.5444	6.3183740219	9.2844572445	9.9375	1	8.8013538505	1	5.8274824682	8.8588651197	5.9	3.8	1.2	4.142800789	4.196491113	4.279328123	5.502814	6.0190708709	8.3996904089	3.1234670149	6.853903195	9.2	9.5444	6.5196673084	9.4047030955	9.9286	1	8.2527213888	1	1.2873490359	8.5655544499	5.9	4.4	2.1	5.2057613169	4.196	4.279328123	5.511383	6.136	8.3527021141	3.0953656228	6.853903195	9.1991939826	9.5444	6.3720361791	9.4667579791	9.9353	1	8.1316341699	1	1.2873490359	8.5162889507
GAM	7.3	8.2	5.3	4.9166666667	1	4.86494639	5.445139	6.4480515574	2.0804518236	4.3666666667	6.368	1	9.91088	5.75758947	8.6935861435	9.863	1	7.0990893276	1.133623624	4.5384479095	1	7.1	8.6	5.2	5.1300287356	1	4.86494639	5.445139	6.621508733	2.0804518236	3.9366666667	6.368	1	9.91088	6.1535163002	8.628000613	9.8588	1	7.6743078144	1.1839945838	6.250022802	2.5105413891	8.1	9.2	6.7	4.6179597701	1	4.86494639	5.445139	6.7621340797	2.0804518236	3.9807751379	6.368	1	9.91088	6.3167575837	8.6028993918	9.8541	1	7.0786161189	1.297173941	2.5157854826	3.0610778215	8.1	8.9	6.8	5.2558275058	1	4.86494639	5.445139	6.763	2.3692775868	3.9400462658	6.368	1	9.91088	5.9731675816	8.581210524	9.8573	1	7.95219158	1.371923067	1.8451953103	2.8184352863
