
                    todas las combinaciones

"1"	"Number"	"Model_Size"	"Sum"	"Best_given_Sum"	"SS(Res)"	"Prop._SS(Fit)"	"Number_of_iterations"
"2"	"1"	"1x1x1"	"3"	"*"	"27.7005928174596"	"53.8328833281173"	"6"
"3"	"6"	"1x2x2"	"5"	""	"25.2003088131708"	"57.999974772676"	"12"
"4"	"11"	"1x3x3"	"7"	""	"24.0338487404749"	"59.9440522378811"	"9"
"5"	"16"	"1x4x4"	"9"	""	"23.7320238056962"	"60.4470879335515"	"7"
"6"	"22"	"2x1x2"	"5"	""	"25.6203437758819"	"57.2999246597582"	"6"
"7"	"25"	"2x2x1"	"5"	"*"	"20.8428487717603"	"65.2623235408247"	"18"
"8"	"26"	"2x2x2"	"6"	"*"	"18.8374573699347"	"68.6046035934927"	"16"
"9"	"27"	"2x2x3"	"7"	""	"18.2800578691155"	"69.5335919352493"	"15"
"10"	"28"	"2x2x4"	"8"	""	"18.1707300986963"	"69.7158027624935"	"14"
"11"	"30"	"2x3x2"	"7"	""	"16.8383691763933"	"71.9363784214464"	"12"
"12"	"31"	"2x3x3"	"8"	""	"15.4589085602183"	"74.2354526553769"	"21"
"13"	"32"	"2x3x4"	"9"	""	"14.8829019845522"	"75.195452427143"	"15"
"14"	"34"	"2x4x2"	"8"	""	"15.8562601222935"	"73.5732077696097"	"10"
"15"	"35"	"2x4x3"	"9"	""	"14.1971006815591"	"76.3384412785966"	"14"
"16"	"36"	"2x4x4"	"10"	""	"13.3177819465311"	"77.8039554247856"	"17"
"17"	"39"	"2x5x3"	"10"	""	"13.4870347328377"	"77.5218707349759"	"21"
"18"	"40"	"2x5x4"	"11"	""	"12.1389481184272"	"79.7686555753373"	"12"
"19"	"43"	"3x1x3"	"7"	""	"25.1957835473499"	"58.0075167944841"	"6"
"20"	"46"	"3x2x2"	"7"	""	"18.1033124649918"	"69.8281641758931"	"16"
"21"	"47"	"3x2x3"	"8"	""	"16.8992479966836"	"71.8349149034016"	"14"
"22"	"48"	"3x2x4"	"9"	""	"16.7066541725151"	"72.1559008696321"	"17"
"23"	"49"	"3x3x1"	"7"	"*"	"16.7598398379765"	"72.0672591268792"	"6"
"24"	"50"	"3x3x2"	"8"	"*"	"13.8709251696334"	"76.8820607965549"	"22"
"25"	"51"	"3x3x3"	"9"	"*"	"11.6851758711279"	"80.5249338406286"	"17"
"26"	"52"	"3x3x4"	"10"	""	"10.8461846212377"	"81.9232362948619"	"6"
"27"	"54"	"3x4x2"	"9"	""	"11.7443097905591"	"80.4263784567914"	"12"
"28"	"55"	"3x4x3"	"10"	"*"	"9.03613407648329"	"84.9399520464834"	"11"
"29"	"56"	"3x4x4"	"11"	""	"7.647543502362"	"87.2542426996613"	"4"
"30"	"58"	"3x5x2"	"10"	""	"11.0120095059328"	"81.6468647078252"	"10"
"31"	"59"	"3x5x3"	"11"	"*"	"7.1543994310448"	"88.0761399069369"	"9"
"32"	"60"	"3x5x4"	"12"	"*"	"5.42739656458684"	"90.9544444744184"	"5"
"33"	"64"	"4x1x4"	"9"	""	"25.166314732369"	"58.056630913751"	"10"
"34"	"66"	"4x2x2"	"8"	""	"18.0479967942685"	"69.9203558860451"	"13"
"35"	"67"	"4x2x3"	"9"	""	"16.5689257688101"	"72.3854455340652"	"10"
"36"	"68"	"4x2x4"	"10"	""	"15.9730174765345"	"73.3786144469662"	"6"
"37"	"70"	"4x3x2"	"9"	""	"13.1609609446464"	"78.0653207153526"	"10"
"38"	"71"	"4x3x3"	"10"	""	"10.6680854369912"	"82.220064809416"	"26"
"39"	"72"	"4x3x4"	"11"	""	"9.0261742749265"	"84.9565515222971"	"4"
"40"	"73"	"4x4x1"	"9"	""	"16.1078731986945"	"73.1538575293125"	"14"
"41"	"74"	"4x4x2"	"10"	""	"10.9446877219306"	"81.7590663735827"	"10"
"42"	"75"	"4x4x3"	"11"	""	"8.00953591923044"	"86.6509290357974"	"11"
"43"	"76"	"4x4x4"	"12"	""	"5.62663980887649"	"90.6223762704699"	"4"
"44"	"78"	"4x5x2"	"11"	""	"10.1514884986252"	"83.0810496729186"	"23"
"45"	"79"	"4x5x3"	"12"	""	"5.83449039928428"	"90.2759626568367"	"9"
"46"	"80"	"4x5x4"	"13"	"*"	"3.04083724501292"	"94.9319969866409"	"4"
"47"	"87"	"5x2x3"	"10"	""	"16.5218060634289"	"72.4639774611692"	"8"
"48"	"88"	"5x2x4"	"11"	""	"15.8932923325302"	"73.5114881384855"	"3"
"49"	"90"	"5x3x2"	"10"	""	"13.1396580045732"	"78.1008252017112"	"10"
"50"	"91"	"5x3x3"	"11"	""	"10.643392670103"	"82.2612189412929"	"56"
"51"	"92"	"5x3x4"	"12"	""	"8.83885274250017"	"85.2687504380269"	"2"
"52"	"94"	"5x4x2"	"11"	""	"10.7757788872282"	"82.0405778173993"	"10"
"53"	"95"	"5x4x3"	"12"	""	"7.73320213524614"	"87.1114799752541"	"11"
"54"	"96"	"5x4x4"	"13"	""	"5.20921486392423"	"91.3180764044835"	"2"
"55"	"97"	"5x5x1"	"11"	""	"15.7909240055425"	"73.6821000285157"	"17"
"56"	"98"	"5x5x2"	"12"	""	"9.95422488048895"	"83.4098185383948"	"18"
"57"	"99"	"5x5x3"	"13"	""	"5.47800129112675"	"90.8701042464056"	"9"
"58"	"100"	"5x5x4"	"14"	"*"	"2.50969485626541"	"95.8172239849322"	"2"

----------------------------------------------------------------------------------------------------

