
                    Contribuciones de las filas segun el primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"ALB"	487	28	121	167	9	81	107
"DZA"	100	681	103	58	52	2	5
"AGO"	776	15	43	3	20	1	140
"ARG"	238	52	164	240	26	129	151
"ARM"	503	30	165	187	0	43	72
"AUS"	798	15	142	14	1	22	8
"AUT"	902	12	39	24	3	10	10
"AZE"	71	395	4	275	66	49	139
"BGD"	167	165	9	315	4	68	274
"BLR"	454	63	108	254	81	0	40
"BEL"	889	0	50	47	0	1	13
"BEN"	806	1	151	6	2	0	35
"BTN"	340	2	200	25	5	39	389
"BOL"	362	246	47	71	0	247	27
"BIH"	10	80	84	115	32	14	666
"BWA"	163	320	4	70	222	41	180
"BRA"	58	214	141	419	5	54	108
"BGR"	488	152	308	4	1	42	5
"BFA"	830	1	92	0	30	10	35
"BDI"	403	298	158	37	38	21	46
"KHM"	576	7	15	219	48	34	101
"CMR"	919	35	25	0	2	9	9
"CAN"	887	24	81	2	6	0	0
"CAF"	894	26	38	0	24	4	14
"TCD"	970	4	18	1	3	0	4
"CHL"	329	178	3	337	13	12	129
"CHN"	59	286	543	66	6	1	37
"COL"	3	160	236	298	1	116	186
"COG"	936	2	12	0	3	31	14
"COD"	818	30	24	33	91	3	1
"CRI"	208	128	30	420	27	32	156
"CIV"	725	3	12	89	10	0	161
"HRV"	780	0	59	83	1	46	31
"CUB"	319	58	449	54	59	25	36
"CYP"	787	55	97	2	21	17	20
"CZE"	797	14	5	111	0	31	43
"DNK"	878	63	45	14	0	0	0
"DOM"	2	68	214	250	36	93	337
"ECU"	14	33	177	301	3	225	248
"EGY"	186	738	11	29	1	5	30
"SLV"	3	443	448	55	2	0	49
"EST"	864	80	17	25	1	13	0
"ETH"	747	37	76	117	0	5	18
"FIN"	775	16	85	102	1	2	20
"FRA"	949	5	22	13	0	0	10
"GAB"	690	7	33	114	71	35	50
"GMB"	558	29	62	249	28	9	64
"GEO"	281	142	524	0	7	42	5
"DEU"	899	48	4	36	0	7	6
"GHA"	713	100	88	40	3	1	54
"GRC"	832	59	83	8	6	8	4
"GTM"	385	16	28	397	45	66	63
"GIN"	886	12	15	17	1	4	64
"GNB"	954	33	0	6	2	5	0
"GUY"	27	175	585	38	14	8	152
"HTI"	769	90	59	6	23	25	28
"HND"	84	33	173	412	22	75	200
"HUN"	833	0	7	106	2	32	19
"ISL"	787	0	143	52	0	1	16
"IND"	331	0	23	218	7	10	410
"IDN"	98	71	1	444	19	5	361
"IRN"	117	303	506	65	0	8	0
"IRQ"	53	819	18	76	11	22	1
"IRL"	739	13	215	7	2	16	7
"ISR"	424	5	7	360	3	105	96
"ITA"	904	21	40	29	0	3	3
"JAM"	211	262	407	78	4	0	37
"JPN"	935	25	2	1	7	18	13
"JOR"	131	565	244	31	1	25	3
"KAZ"	410	327	0	198	59	0	6
"KEN"	877	33	17	24	2	14	33
"PRK"	3	87	364	329	59	151	7
"KOR"	949	5	1	24	9	1	12
"KWT"	141	495	294	31	3	33	3
"KGZ"	201	527	32	201	33	5	0
"LAO"	635	73	2	253	6	30	0
"LVA"	576	229	130	34	11	15	4
"LBN"	5	713	108	89	5	65	15
"LSO"	533	398	33	3	4	17	12
"LBR"	872	1	50	26	1	37	12
"LBY"	320	324	127	18	174	25	12
"LTU"	627	186	104	43	20	20	0
"LUX"	614	11	293	6	54	14	7
"MKD"	355	53	432	94	12	49	5
"MDG"	851	7	107	15	8	10	2
"MWI"	818	0	128	0	5	25	24
"MYS"	179	2	7	597	60	1	152
"MLI"	672	41	175	1	7	50	53
"MLT"	837	40	0	55	38	24	5
"MRT"	806	32	71	2	22	61	6
"MUS"	860	7	8	12	28	76	9
"MEX"	30	59	133	677	3	15	84
"MDA"	183	1	185	249	54	185	144
"MNG"	176	1	97	642	62	22	0
"MNE"	717	25	44	124	9	23	59
"MAR"	10	35	295	201	0	436	22
"MOZ"	877	31	64	0	1	0	27
"MMR"	245	0	575	19	26	23	111
"NAM"	475	370	1	11	76	54	14
"NPL"	376	0	21	143	31	0	429
"NLD"	881	32	44	34	0	0	9
"NZL"	743	107	67	35	2	15	30
"NIC"	343	174	287	35	31	43	86
"NER"	752	23	117	3	2	53	51
"NGA"	912	4	15	8	45	12	4
"NOR"	781	3	145	56	0	1	15
"OMN"	119	487	296	48	31	5	13
"PAK"	254	330	4	132	71	36	174
"PAN"	14	196	29	440	65	151	104
"PNG"	794	19	12	36	46	92	1
"PRY"	20	20	291	416	12	41	199
"PER"	24	234	168	275	1	109	189
"PHL"	130	31	78	2	2	597	160
"POL"	865	11	12	67	5	21	19
"PRT"	875	98	20	2	0	0	4
"QAT"	28	108	150	531	92	9	81
"ROU"	436	23	107	204	28	58	143
"RUS"	118	132	628	2	112	2	6
"RWA"	615	17	2	16	79	49	221
"SAU"	185	647	84	51	0	21	12
"SEN"	741	29	142	28	33	24	4
"SRB"	600	24	122	146	6	50	51
"SLE"	823	5	66	78	0	18	10
"SGP"	370	23	134	295	10	89	80
"SVK"	758	12	0	116	1	69	43
"SVN"	804	7	12	127	4	5	41
"ZAF"	77	472	5	216	13	0	217
"ESP"	852	36	2	46	1	41	23
"LKA"	333	36	245	195	124	30	37
"SDN"	744	49	7	1	72	53	73
"SWE"	812	6	97	64	0	3	18
"CHE"	856	13	99	0	18	9	4
"SYR"	83	717	149	13	8	27	3
"TWN"	974	9	1	9	3	3	1
"TJK"	14	604	0	215	28	17	121
"TZA"	821	0	142	30	0	2	4
"THA"	582	2	373	2	23	6	12
"TGO"	919	10	35	1	25	8	3
"TTO"	360	41	303	8	114	100	74
"TUN"	752	76	116	29	4	15	7
"TUR"	492	40	55	327	1	11	73
"TKM"	357	57	159	7	273	145	1
"UGA"	840	3	116	0	1	38	1
"UKR"	484	48	83	281	57	10	37
"ARE"	150	390	292	99	68	1	0
"GBR"	927	36	30	0	5	2	0
"USA"	548	176	0	150	3	13	110
"URY"	531	196	91	114	1	0	67
"UZB"	71	720	137	8	6	0	58
"VEN"	7	3	291	364	16	110	209
"VNM"	44	19	517	42	127	7	244
"YEM"	662	276	39	18	0	4	0
"ZMB"	671	20	22	7	46	59	176
"ZWE"	799	24	110	6	23	2	36

----------------------------------------------------------------------------------------------------


                    Contribuciones de las columnas del primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"SF"	993	1	1	3	1	0	0
"SD"	997	0	2	0	0	0	0
"SS"	987	12	0	0	0	0	0
"Ed"	988	10	1	0	0	0	0
"HL"	998	0	1	1	0	0	0
"GE"	617	353	15	14	1	0	0
"ID"	889	92	14	5	0	0	0
"PG"	906	55	39	1	0	0	0
"GG"	909	58	33	0	0	0	0

----------------------------------------------------------------------------------------------------


                    Contribuciones de las filas segun el segundo cubo en el compromiso

Axis	1	2	3	4	5	6	7
"ALB"	541	6	381	7	35	30	0
"DZA"	0	529	212	162	52	5	40
"AGO"	829	0	29	32	82	10	18
"ARG"	307	131	181	72	222	76	12
"ARM"	25	114	466	162	184	22	26
"AUS"	834	78	55	3	28	1	1
"AUT"	739	122	87	7	3	33	9
"AZE"	31	402	395	0	151	20	0
"BGD"	437	31	350	19	132	5	26
"BLR"	754	122	23	3	87	0	11
"BEL"	872	2	108	4	3	9	2
"BEN"	867	17	54	0	16	17	29
"BTN"	127	356	7	386	53	66	6
"BOL"	82	167	221	121	137	8	265
"BIH"	64	1	300	0	566	67	2
"BWA"	127	160	637	1	0	69	6
"BRA"	139	350	15	273	154	54	14
"BGR"	598	9	14	21	332	24	2
"BFA"	903	17	66	4	3	1	5
"BDI"	911	13	38	33	3	1	1
"KHM"	957	15	0	27	0	0	0
"CMR"	795	2	24	108	14	19	38
"CAN"	766	82	85	8	57	1	2
"CAF"	799	91	62	0	44	0	3
"TCD"	808	84	82	2	9	7	9
"CHL"	145	355	12	294	135	58	2
"CHN"	140	6	322	41	71	307	113
"COL"	342	41	500	7	11	86	12
"COG"	741	41	51	14	3	57	92
"COD"	897	13	41	5	8	26	10
"CRI"	303	274	7	109	246	8	54
"CIV"	783	71	2	14	31	40	58
"HRV"	337	464	68	10	70	45	7
"CUB"	54	75	555	158	105	26	27
"CYP"	777	24	10	73	4	9	103
"CZE"	902	41	45	1	5	6	0
"DNK"	694	171	82	2	5	4	43
"DOM"	42	13	279	19	637	6	4
"ECU"	110	16	858	6	4	6	0
"EGY"	0	616	56	204	114	8	2
"SLV"	687	9	0	67	142	59	35
"EST"	817	68	32	40	20	16	8
"ETH"	847	31	92	3	20	6	2
"FIN"	732	35	119	69	18	23	5
"FRA"	653	105	39	5	82	101	15
"GAB"	181	253	273	3	51	2	238
